custId,accountType,branchNumber,relatedCustomerId,maskedAccountNumber,type,openDate,id,balance,currency,maskedNumber
136a9956-26f1-4f22-9e76-42307a6f8498,bankAccounts_0,540,136a9956-26f1-4f22-9e76-42307a6f8498,29***00,SDA,2018-03-01,75210ccb-7560-42fd-b199-66e9e03cb3e9,0.0,CAD,
136a9956-26f1-4f22-9e76-42307a6f8498,bankAccounts_1,540,136a9956-26f1-4f22-9e76-42307a6f8498,41***00,DDA,2018-03-01,d50d5d39-44d6-4d27-b0d9-7c7ab579c33b,0.0,CAD,
136a9956-26f1-4f22-9e76-42307a6f8498,creditCardAccounts_0,,136a9956-26f1-4f22-9e76-42307a6f8498,,VISA,2018-03-01T00:00:00,7136cb43-ee02-4f51-a4e9-0cece7b551c9,1957.48,CAD,57*************24
aca6d96e-edac-4a1a-b6c9-cf024ff4643a,bankAccounts_0,12081,aca6d96e-edac-4a1a-b6c9-cf024ff4643a,53***25,DDA,2018-03-01,83dad9a0-59c5-4ddd-b739-c15b3ef6dcd6,38784.81,CAD,
aca6d96e-edac-4a1a-b6c9-cf024ff4643a,bankAccounts_1,12081,aca6d96e-edac-4a1a-b6c9-cf024ff4643a,76***56,SDA,2018-03-01,c339e891-4657-452a-8ce3-9ba76661b7cc,26717.92,CAD,
aca6d96e-edac-4a1a-b6c9-cf024ff4643a,creditCardAccounts_0,,aca6d96e-edac-4a1a-b6c9-cf024ff4643a,,VISA,2018-03-01T00:00:00,f4070ee5-c110-4458-ab7d-88b0406daf6f,1111.71,CAD,44*************81
8611672b-4f54-44b9-ac48-37d2bb5d2320,bankAccounts_0,235,8611672b-4f54-44b9-ac48-37d2bb5d2320,70***66,DDA,2018-03-01,3403ae31-4ba4-4b3f-933a-3cb863439c08,11304.12,CAD,
8611672b-4f54-44b9-ac48-37d2bb5d2320,bankAccounts_1,235,8611672b-4f54-44b9-ac48-37d2bb5d2320,41***75,SDA,2018-03-01,3b9cbed1-c448-41f5-847c-960114e50256,9357.72,CAD,
8611672b-4f54-44b9-ac48-37d2bb5d2320,creditCardAccounts_0,,8611672b-4f54-44b9-ac48-37d2bb5d2320,,VISA,2018-03-01T00:00:00,6bb42659-10c4-4b09-bf8b-286bcd1410b0,436.82,CAD,52*************86
5c5816bb-2371-45b3-95e5-176a7cf27f51,bankAccounts_0,132,5c5816bb-2371-45b3-95e5-176a7cf27f51,50***02,SDA,2018-03-01,958d6d23-8d61-4c4b-b808-87ebfbcf5d89,6136.3,CAD,
