id,type,givenName,surname,age,gender,birthDate,relationshipStatus,habitationStatus,postalCode,workActivity,occupationIndustry,totalIncome,otherName,schoolAttendance,maidenName
136a9956-26f1-4f22-9e76-42307a6f8498,Personal,Cormac,Ahl,35,Male,1984-07-13,Single,With Spouse,M4J 3G2,,,,,,
aca6d96e-edac-4a1a-b6c9-cf024ff4643a,Personal,Emily,Pu,42,Other,1977-01-29,Separated,With Spouse,M5V 1M9,fulltime,"5413 Architectural, engineering and related services",66294.8,,,
8611672b-4f54-44b9-ac48-37d2bb5d2320,Personal,Antonia,Langholdt,48,Female,1970-12-26,Widowed,With Spouse,M9B 1B2,parttime,4481 Clothing stores,22894.3,,,
5c5816bb-2371-45b3-95e5-176a7cf27f51,Personal,Tanner,Fedler,28,Other,1991-04-04,Single,With Spouse,M6G 1W7,parttime,3132 Fabric mills,14840.76,Cane,Apprenticeship,
799e2b46-0095-4a69-b8c6-3272fabc4c3b,Personal,Yelena,Bontempo,16,Female,2003-06-08,Single,With Parent,M5R 2S9,,,,Tijuana,Secondary,
8b3c1b8d-3593-4cdd-b47b-a984b02d1a7f,Personal,Rebeca,Versteeg,50,Female,1969-04-03,Divorced,With Spouse,M2R 2E5,,,,,,
d3e78cc8-2855-4be3-bf00-e7f41c88cd5e,Personal,Antonia,Billig,28,Male,1991-06-08,Single,With Spouse,M3B 1T3,fulltime,"4483 Jewellery, luggage and leather goods stores",28626.51,,Apprenticeship,
518c402f-bd86-4324-8a48-be9c645e8474,Personal,Gordon,Fulbright,35,Male,1984-05-08,Single,With Spouse,M4J 3P4,fulltime,4842 Specialized freight trucking,96351.0,,,
05bc73a8-5f03-49ee-86a3-4c4952db7fc7,Personal,Euan,Pizano,24,Male,1994-10-19,Single,With Spouse,M1L 4T9,,,,,Apprenticeship,
fd89a138-9a76-4530-92f0-af8c216897bb,Personal,Vidal,Heggood,46,Male,1972-11-23,Divorced,With Spouse,M2N 4P3,parttime,5241 Insurance carriers,16566.0,,,
fef4ae2f-6222-4343-96a6-855194f227f6,Personal,Kasey,Micheletti,16,Male,2003-08-15,Single,With Parent,M6C 2M7,,,,,Secondary,
21330e8f-659a-4894-bae1-3efd4c6bef46,Personal,Kristle,Lagerquist,23,Female,1995-11-23,Single,With Spouse,M4Y 1N3,parttime,"4182 Paper, paper product and disposable plastic product wholesaler-distributors",5127.21,Imogene,College,
f95ea500-958f-4c52-9bda-7a6c261930d1,Personal,Isiah,Baratto,20,Male,1999-02-28,Single,With Parent,M2N 1P7,,,,,College,
1de7592f-9ff9-44ab-bf9f-ba80be4a0078,Personal,Delbert,Dewall,37,Other,1981-12-25,Single,With Spouse,M5V 1M9,fulltime,5221 Depository credit intermediation,61010.0,,,
053af17b-7713-4ae3-b976-ff9eecee2ad8,Personal,Lincoln,Kastler,36,Male,1983-06-08,Single,With Spouse,M2J 4P9,fulltime,6241 Individual and family services,43145.0,Nicky,,
bd03d4f8-653c-47f8-a1ae-00b0c872a96c,Personal,Jamey,Dornbrook,48,Male,1971-03-01,Single,With Spouse,M8V 2Z2,fulltime,2362 Non-residential building construction,40482.2,,,
ae96cf8e-0ceb-4ea8-9da7-e4681c811a54,Personal,Kailyn,Harvill,37,Female,1982-05-09,Single,With Spouse,M9W 6B8,fulltime,4851 Urban transit systems,40041.0,,,
7235245c-d706-4681-92a6-185c0aebeed8,Personal,Emilia,Bevevino,19,Female,1999-12-25,Single,With Parent,M2J 3P3,,,,,Secondary,
63b01a44-22d0-4510-a093-37cfabf8134c,Personal,Thor,Markert,48,Male,1971-08-16,Divorced,With Spouse,M6M 3S4,parttime,"5111 Newspaper, periodical, book and director publishers",20224.6,,,
9d6ea599-1747-49e4-93b7-33850da0a3f6,Personal,Jayden,Stolle,38,Male,1980-11-21,Single,With Spouse,M1S 3Z7,parttime,"5413 Architectural, engineering and related services",16994.0,,,
691dba05-5e6e-42cd-9deb-a5e44f303870,Personal,Aliana,Boylan,42,Female,1976-12-25,Single,With Spouse,M1R 1A5,parttime,5221 Depository credit intermediation,18772.6,,,
4834d745-8c56-4fd9-9c40-5a052270da4e,Personal,Frederick,Vanhoose,48,Male,1971-06-09,Divorced,With Spouse,M9C 2Z6,parttime,5221 Depository credit intermediation,21855.9,,,
778fccde-66ad-4e5c-a923-b52254b9b9e3,Personal,Allena,Evans,50,Female,1968-10-21,Single,With Spouse,M4T 1G6,,,,,,
0664dff2-07d9-44e4-b35f-4776697870ae,Personal,Michal,Corbet,39,Other,1980-05-08,Divorced,With Spouse,M1E 1P2,,,,,,
671d0ae2-ecf4-4e00-ba4b-1f6c713ce5dc,Personal,Toryn,Verlato,47,Male,1972-07-11,Single,With Spouse,M9C 3N5,parttime,"4179 Other machinery, equipment and supplies wholesaler-distributors",27065.5,Tristen,,
70490ec8-d272-46cf-9bba-fb6620154912,Personal,Trace,Verhey,42,Male,1976-11-23,Single,With Spouse,M4W 3W4,fulltime,4931 Warehousing and storage,100732.5,,,
b67e4926-c3a7-4646-9e7a-a38d7116922c,Personal,Leda,Metcalf,46,Female,1973-04-04,Divorced,With Spouse,M6H 2X5,fulltime,4461 Health and personal care stores,42958.3,,,
da0f7d15-a63a-4c3f-a3ce-932c88d4ee5f,Personal,Michiko,Gunst,38,Female,1981-06-08,Single,With Spouse,M2H 1T6,fulltime,5221 Depository credit intermediation,31877.0,,,
bf1e400a-557c-4f7c-999f-e93d8db81168,Personal,Jadon,Rainforth,55,Male,1964-06-08,Divorced,With Spouse,M4R 1V6,fulltime,5616 Investigation and security services,42313.1,,,
33d48bc7-dace-481e-afb0-19d55ccb608a,Personal,Nicol,Klunder,34,Female,1985-05-07,Single,With Spouse,M3N 1K6,fulltime,6116 Other school and instruction,30872.0,,,
b299fd21-1827-460d-805d-a37fbebf43ab,Personal,Angila,Binienda,21,Female,1998-01-28,Single,With Parent,M4L 2J9,parttime,4539 Other miscellaneous store retailers,12484.23,,College,
94683de8-6459-471c-b9bb-062f71c1d101,Personal,Elden,Kehr,50,Male,1969-02-28,Divorced,With Spouse,M4B 1J6,parttime,4452 Specialty food stores,31847.2,,,
afbad5ab-4a5d-48a0-8b00-af5316834af9,Personal,Domitila,Pressler,45,Other,1973-12-26,Separated,With Spouse,M1H 1V8,parttime,5221 Depository credit intermediation,20322.5,,,
e653c1d3-331b-4972-a9f3-d263d7652374,Personal,Tiago,Rolon,50,Male,1969-06-08,Separated,With Spouse,M6P 3V2,parttime,"5418 Advertising, public relations, and related services",34113.2,,,
7ec416d2-d32b-4315-bef2-8c9745dc1b0c,Personal,Leland,Stoneback,27,Male,1992-01-28,Single,With Spouse,M2R 2Y1,parttime,"5416 Management, scientific and technical consulting services",8777.67,,Apprenticeship,
0ca6f9c0-08bf-4b6e-9e02-c4c4f8681326,Personal,Heide,Ferri,25,Female,1994-09-17,Single,With Spouse,M3N 2P3,parttime,6111 Elementary and secondary schools,6763.35,,Apprenticeship,
08d20ccb-18cb-4ca4-99ba-1deb0312eb34,Personal,Wen,Fringuello,38,Female,1981-06-09,Single,With Spouse,M6P 2J8,fulltime,5223 Activities related to credit intermediation,38589.0,,,
a04e11d5-f04a-4290-b370-92a038fcaee5,Personal,Filomena,Laba,27,Female,1991-11-22,Single,With Spouse,M6J 3H9,parttime,6230 Nursing and residential care facilities (6231 to 6239),12112.98,,Apprenticeship,
f64c70b4-4d0c-467c-a6e2-4cf8de765d83,Personal,Eddie,Coberley,39,Male,1980-09-16,Single,With Spouse,M4C 2P9,fulltime,"8139 Business, professional, labour and other membership organizations",53470.0,,,
87e90b16-8d1f-4380-8488-f9127685ccfc,Personal,Kaye,Vollick,42,Female,1976-12-24,Divorced,With Spouse,M4E 3M4,fulltime,6220 Hospitals (6221 to 6223),86002.4,,,
14e31544-d618-49b0-826c-38984d282446,Personal,Tyler,Rolark,32,Male,1987-06-09,Single,With Spouse,M4N 1E2,fulltime,8132 Grant-making and giving services,48834.06,,Apprenticeship,
0bf779ae-83ec-46f7-8e56-3db95304c0c3,Personal,Setsuko,Bouchillon,40,Female,1979-05-09,Single,With Spouse,M2L 1Z6,fulltime,9120 Provincial and territorial public administration (9121 to 9129),46692.0,,,
2699d33b-9961-4cb0-8eb1-8f37709bd494,Personal,Uriel,Dudley,38,Male,1981-01-28,Single,With Spouse,M5T 2Z8,fulltime,7221 Full-service restaurants,32999.0,,,
85237910-a0fe-428c-9f96-37179edce948,Personal,Myles,Vanlinden,22,Male,1997-05-06,Single,With Parent,M9C 3X5,parttime,5221 Depository credit intermediation,6593.07,,College,
776ed21d-b17b-42cb-b708-d3ab069455dd,Personal,Laurie,Salzmann,26,Male,1993-05-07,Single,With Parent,M1S 2M8,parttime,2383 Building finishing contractors,7997.22,,Apprenticeship,
75b24f82-e876-46a4-962f-dc551aee4a6c,Personal,Shad,Neils,39,Male,1980-05-08,Single,With Spouse,M1W 1P4,,,,,,
4dc13ed0-2346-4e2e-85d6-921a1f4bb985,Personal,Boyce,Metts,42,Male,1977-09-18,Single,With Spouse,M6N 3G5,fulltime,4173 Computer and communications equipment and supplies wholesaler-distributors,41375.4,Jacques,,
dbcc6dd2-8cbe-4915-8337-61851e02e4e3,Personal,Stone,Brooms,51,Male,1968-01-30,Divorced,With Spouse,M4P 1Z8,fulltime,4451 Grocery stores,67618.85,,,
a8b2db90-c8b2-4e35-a701-7be6d5bcbaf6,Personal,Kolby,Hutmacher,27,Male,1992-02-29,Single,With Spouse,M1P 4V4,parttime,5613 Employment services,9642.93,Osvaldo,Apprenticeship,
27406f11-2704-4eee-95b4-5e05a7436ccb,Personal,Eamon,Cudan,29,Male,1990-08-16,Single,With Spouse,M1S 1H2,parttime,5121 Motion picture and video industries,7983.69,,Apprenticeship,
5eaba0d6-7afb-4757-aa3c-b48edc4c3e61,Personal,Cai,Ribero,32,Other,1987-05-09,Single,With Spouse,M1H 1V8,parttime,6241 Individual and family services,6782.82,,Apprenticeship,
aba35227-b601-4a03-bcb1-7f90d215b971,Personal,Sonny,Diez,49,Male,1970-07-12,Single,With Spouse,M4J 1J4,parttime,5414 Specialized design services,30416.1,,,
951d9f39-65e3-4920-ae9e-524cc8a1a655,Personal,Jami,Nist,49,Other,1970-09-17,Single,With Spouse,M5G 2E9,fulltime,7222 Limited-service restaurants,49959.8,,,
8c06b8b9-3d49-4e1f-904b-10d23a0200d0,Personal,Korey,Fillingham,36,Male,1983-04-05,Single,With Spouse,M3J 2V6,fulltime,4482 Shoe stores,28951.0,,,
d540fe73-9b7d-4916-b637-e800181d684b,Personal,Monroe,Rogacion,29,Other,1990-04-05,Single,With Parent,M8Y 2S5,parttime,9120 Provincial and territorial public administration (9121 to 9129),7993.26,,Apprenticeship,
aebf184c-a45c-490d-9bb6-0c396d5cf3d7,Personal,Rio,Cung,53,Male,1966-09-16,Divorced,With Spouse,M5A 1W4,parttime,5241 Insurance carriers,25615.1,Tim,,
52cd49a8-d9c7-40b2-a22c-d69e0292d068,Personal,Whitney,Menner,21,Male,1998-04-03,Single,With Parent,M6E 4G4,parttime,"5111 Newspaper, periodical, book and director publishers",6818.13,,College,
